title,author,publisher,library,provider,platform,image_url,isbn,goods_id
나는 다시 나를 설계하기로 했다,마르틴 베를레,메이븐,송파구 도서관 (소장),교보,YES24,/images/bookimg//DRMContent/ebook/4801199092908/M4801199092908.jpg,,4801199092908
어서 오세요! ㄱㄴㄷ 뷔페,최경식,위즈덤하우스,송파구 도서관 (소장),교보,YES24,/images/bookimg//DRMContent/ebook/4808962472318/M4808962472318.jpg,,4808962472318
내인생 두번째 봄 대학에서 피어난 꿈,김미애,여담출판사,송파구 도서관 (소장),YES24,YES24,https://image.yes24.com/goods/151395818/M,,151395818
"시냇물 따라 흐르는 계절과 추억 : 비와 바람, 어린 날의 놀이, 그리고 그리움","안용선,AI",작가와,송파구 도서관 (소장),YES24,YES24,https://image.yes24.com/goods/151793095/M,,151793095
삼체 0 : 구상섬전,류츠신,다산책방,송파구 도서관 (소장),교보,YES24,/images/bookimg//DRMContent/ebook/4801130669459/M4801130669459.jpg,,4801130669459
생존을 위한 최소한의 지리,최준영,교보문고,송파구 도서관 (소장),교보,YES24,/images/bookimg//DRMContent/ebook/480N250875610/M480N250875610.jpg,,480
케데헌 대사와 노래로 배우는 영어회화,소셜PD,유페이퍼,송파구 도서관 (소장),YES24,YES24,https://image.yes24.com/goods/155059667/M,,155059667
카롱 카롱 마카롱,이빛,크레용하우스,송파구 도서관 (소장),교보,YES24,/images/bookimg//DRMContent/ebook/4801171211587/M4801171211587.jpg,,4801171211587
AI 전략수업: AI 시대의 유일한 인간 생존 로드맵,리더인(이다인),하이스트,송파구 도서관 (소장),교보,YES24,/images/bookimg//DRMContent/ebook/4801193282343/M4801193282343.jpg,,4801193282343
"나무 같은 사람이 되고 싶다 : 꾸준히, 천천히, 묵묵히 삶을 키우는 나무의 지혜",리즈 마빈,아멜리에북스,송파구 도서관 (소장),YES24,YES24,https://image.yes24.com/goods/152074288/M,,152074288
렛뎀 이론,멜 로빈스,비즈니스북스,송파구 도서관 (소장),교보,YES24,/images/bookimg//DRMContent/ebook/4801162544328/M4801162544328.jpg,,4801162544328
K뷰티 트렌드,김난도,미래의창,송파구 도서관 (소장),교보,YES24,/images/bookimg//DRMContent/ebook/4801193638782/M4801193638782.jpg,,4801193638782
오늘도 웃음꽃 피는 학교에 갑니다,윤상원,하움출판사,송파구 도서관 (소장),교보,YES24,/images/bookimg//DRMContent/ebook/4801173741587/M4801173741587.jpg,,4801173741587
걱정 마인드셋 : 지금 이 순간의 나를 찾는 걱정사용설명서,여지행,작가와,송파구 도서관 (소장),YES24,YES24,https://image.yes24.com/goods/151759181/M,,151759181
아빠 기억나?,마르코 발자노,내인생의책,송파구 도서관 (소장),교보,YES24,/images/bookimg//DRMContent/ebook/4801157236504/M4801157236504.jpg,,4801157236504
말뚝들,김홍,한겨레출판사,송파구 도서관 (소장),교보,YES24,/images/bookimg//DRMContent/ebook/4801172133062/M4801172133062.jpg,,4801172133062
"카인드, 친절한 것이 살아남는다",그레이엄 올컷,비즈니스북스,송파구 도서관 (소장),교보,YES24,/images/bookimg//DRMContent/ebook/4801162544366/M4801162544366.jpg,,4801162544366
어른이의 영어 그림책 : 함께 읽은 그림책에 담긴 사랑과 성장의 순간들,솔아,그로우북스,송파구 도서관 (소장),YES24,YES24,https://image.yes24.com/goods/153504767/M,,153504767
한 권으로 끝내는 로빈의 한국사,로빈의 역사 기록,메가스터디북스,송파구 도서관 (소장),교보,YES24,/images/bookimg//DRMContent/ebook/4801129715334/M4801129715334.jpg,,4801129715334
