title,author,publisher,library,image_url,isbn
하루 10분 짬짬이 영어패턴 - 상황별 필수 패턴,"이광수, 이수경",넥서스,동작구 구립도서관 (교보),,
하루 10분 짬짬이 영어패턴 - 우선순위 기본 패턴,"이광수, 이수경",넥서스,동작구 구립도서관 (교보),,
지하철로 떠나는 서울 골목 길 여행,"최미선, 신석교",넥서스BOOKS,동작구 구립도서관 (교보),,
지하철로 떠나는 서울 숲&공원 여행,"최미선, 신석교",넥서스BOOKS,동작구 구립도서관 (교보),,
지하철로 떠나는 박물관&명소 여행,"최미선, 신석교",넥서스BOOKS,동작구 구립도서관 (교보),,
지하철로 떠나는 궁궐&사찰 여행,"최미선, 신석교",넥서스BOOKS,동작구 구립도서관 (교보),,
지하철로 떠나는 당일치기 근교 여행,"최미선, 신석교",넥서스BOOKS,동작구 구립도서관 (교보),,
다락원 JPT 1000제 독해편,"이최여희,송경주",다락원,동작구 구립도서관 (교보),,
다락원 JPT 1000제 청해편,양정순,다락원,동작구 구립도서관 (교보),,
다락원 다이나믹 일본어 작문 초급,"오현정, 도이 미호, 이시야마 데쓰야",다락원,동작구 구립도서관 (교보),,
다락원 중국어 마스터 Step2,"박정구, 백은희",다락원,동작구 구립도서관 (교보),,
다락원 중국어 마스터 Step3,"박정구, 백은희, 마원나",다락원,동작구 구립도서관 (교보),,
다락원 중국어 마스터 Step4,"박정구, 백은희, 마원나",다락원,동작구 구립도서관 (교보),,
다락원 중국어 마스터 Step5,"박정구, 백은희, 마원나",다락원,동작구 구립도서관 (교보),,
조조의 용병술 : 사람을 얻고 버리는 인간경영의 실체,장야신,스마트북,동작구 구립도서관 (교보),,
탈무드,마빈 토케이어,스마트이북,동작구 구립도서관 (교보),,
단숨에 읽는 삼국지 1,나관중,스마트북,동작구 구립도서관 (교보),,
단숨에 읽는 삼국지 2,나관중,스마트북,동작구 구립도서관 (교보),,
단숨에 읽는 서유기 1,오승은,스마트북,동작구 구립도서관 (교보),,
단숨에 읽는 서유기 2,오승은,스마트북,동작구 구립도서관 (교보),,
단숨에 읽는 수호지 1,시내암,스마트북,동작구 구립도서관 (교보),,
단숨에 읽는 수호지 2,시내암,스마트북,동작구 구립도서관 (교보),,
태엽 감는 여자,박경화,책나무출판사,동작구 구립도서관 (교보),,
"꽃, 궁금한 이야기",김응환,온이퍼브,동작구 구립도서관 (교보),,
소설 을지문덕,김동인,온이퍼브,동작구 구립도서관 (교보),,
초등학교 한자쓰기 연습(4급),편집부,온이퍼브,동작구 구립도서관 (교보),,
초등학교 한자쓰기 연습(5급),편집부,온이퍼브,동작구 구립도서관 (교보),,
초등학교 한자쓰기 연습(6급),편집부,온이퍼브,동작구 구립도서관 (교보),,
초등학교 한자쓰기 연습(7급),편집부,온이퍼브,동작구 구립도서관 (교보),,
초등학교 한자쓰기 연습(8급),편집부,온이퍼브,동작구 구립도서관 (교보),,
재미있는 우리설화(전라도 편),편집부,온이퍼브,동작구 구립도서관 (교보),,
재미있는 우리설화(충청도 편),편집부,온이퍼브,동작구 구립도서관 (교보),,
재미있는 우리설화(함경도 편),편집부,온이퍼브,동작구 구립도서관 (교보),,
재미있는 우리설화(황해도 편),편집부,온이퍼브,동작구 구립도서관 (교보),,
Corean Primer,John Ross,온이퍼브,동작구 구립도서관 (교보),,
Korean folk tales,James S. Gale,온이퍼브,동작구 구립도서관 (교보),,
성산명경,최병헌,온이퍼브,동작구 구립도서관 (교보),,
욕심쟁이 땅차지,방정환,온이퍼브,동작구 구립도서관 (교보),,
호랑이 형님,방정환,온이퍼브,동작구 구립도서관 (교보),,
시골쥐 서울구경,방정환,온이퍼브,동작구 구립도서관 (교보),,
