title,author,publisher,library,platform,provider,image_url,isbn
자유로운 생활,오송민,위즈덤하우스,양천구립도서관 (소장),Kyobo_New,교보문고,https://ebook.yangcheon.or.kr/upload/22911/content/ebook/4801171714668/L4801171714668.jpg,
관세 이야기,김성재,매일경제신문사,양천구립도서관 (소장),Kyobo_New,교보문고,https://ebook.yangcheon.or.kr/upload/22911/content/ebook/4801164847939/L4801164847939.jpg,
국영수는 핑계고 인생을 배웁니다,조이엘,섬타임즈,양천구립도서관 (소장),Kyobo_New,교보문고,https://ebook.yangcheon.or.kr/upload/22911/content/ebook/4801198520358/L4801198520358.jpg,
이웃집 너스에이드,치넨 미키토,소담,양천구립도서관 (소장),Kyobo_New,교보문고,https://ebook.yangcheon.or.kr/upload/22911/content/ebook/4801160274913/L4801160274913.jpg,
AI 에이전트 트렌드&활용백과,김덕진,스마트북스,양천구립도서관 (소장),Kyobo_New,교보문고,https://ebook.yangcheon.or.kr/upload/22911/content/ebook/4801193674261/L4801193674261.jpg,
초록 땀,김화진,작가정신,양천구립도서관 (소장),Kyobo_New,교보문고,https://ebook.yangcheon.or.kr/upload/22911/content/ebook/4801160263672/L4801160263672.jpg,
왜의 쓸모,찰스 틸리,유유,양천구립도서관 (소장),Kyobo_New,교보문고,https://ebook.yangcheon.or.kr/upload/22911/content/ebook/4801167701313/L4801167701313.jpg,
서울의 하이스트리트,김성순,디자인하우스,양천구립도서관 (소장),Kyobo_New,교보문고,https://ebook.yangcheon.or.kr/upload/22911/content/ebook/4808970413211/L4808970413211.jpg,
우리가 지켜야 할 한국사,서경덕과 분야별 전문가,허들링북스,양천구립도서관 (소장),Kyobo_New,교보문고,https://ebook.yangcheon.or.kr/upload/22911/content/ebook/4801191505529/L4801191505529.jpg,
이병한의 아메리카 탐문,이병한,서해문집,양천구립도서관 (소장),Kyobo_New,교보문고,https://ebook.yangcheon.or.kr/upload/22911/content/ebook/4801194413456/L4801194413456.jpg,
제로 웨이스트가 뭐예요?,장성익,풀빛,양천구립도서관 (소장),Kyobo_New,교보문고,https://ebook.yangcheon.or.kr/upload/22911/content/ebook/4801161729863/L4801161729863.jpg,
초등학생이 꼭 알아야 할 독립운동가 100인,주환선,바이킹,양천구립도서관 (소장),Kyobo_New,교보문고,https://ebook.yangcheon.or.kr/upload/22911/content/ebook/4808964947623/L4808964947623.jpg,
각성,김요한,떠오름,양천구립도서관 (소장),Kyobo_New,교보문고,https://ebook.yangcheon.or.kr/upload/22911/content/ebook/480N250766640/L480N250766640.jpg,
"다시, 몸으로",김초엽,래빗홀,양천구립도서관 (소장),Kyobo_New,교보문고,https://ebook.yangcheon.or.kr/upload/22911/content/ebook/4801168342959/L4801168342959.jpg,
"필사, 어른이 되는 시간",나태주,북로그컴퍼니,양천구립도서관 (소장),Kyobo_New,교보문고,https://ebook.yangcheon.or.kr/upload/22911/content/ebook/4801168031235/L4801168031235.jpg,
빨간내복야코 안 읽으면 완전 위험한 과학책 1: 일상이 위기,박종은,위즈덤하우스,양천구립도서관 (소장),Kyobo_New,교보문고,https://ebook.yangcheon.or.kr/upload/22911/content/ebook/4801171712794/L4801171712794.jpg,
빨간내복야코 안 읽으면 완전 위험한 과학책 2: 집 나가면 위기,박종은,위즈덤하우스,양천구립도서관 (소장),Kyobo_New,교보문고,https://ebook.yangcheon.or.kr/upload/22911/content/ebook/4801171713418/L4801171713418.jpg,
