title,author,publisher,library,image_url,isbn,provider,platform
드라큘라 2 (펭귄 클래식 시리즈 47) [전자책],브램 스토커,펭귄클래식(Penguin Classics),서울도서관 (API),,,,Mixed
긍정이 걸작을 만든다 [전자책],윤석금,리더스북,서울도서관 (API),,,,Mixed
나는 아이보다 나를 더 사랑한다 (아이보다 더 아픈 엄마들을 위한 심리학) [전자책],신의진,걷는나무,서울도서관 (API),,,,Mixed
신문물검역소 [전자책],강지영,시작,서울도서관 (API),,,,Mixed
웅진 작은책마을 23 - 마법의 학교 버스 [전자책],고정욱,웅진주니어,서울도서관 (API),,,,Mixed
웅진 작은책마을 24 - 날아라 풀씨야(우리 풀 동화) [전자책],원유순,웅진주니어,서울도서관 (API),,,,Mixed
자유론 (펭귄 클래식 시리즈 49) [전자책],존 스튜어트 밀,펭귄클래식(Penguin Classics),서울도서관 (API),,,,Mixed
내 통장 사용 설명서 - 통장 7개로 시작하는 세상에서 제일 쉬운 재테크 [전자책],이천,웅진윙스,서울도서관 (API),,,,Mixed
오만과 편견 (펭귄 클래식 시리즈-50) [전자책],제인 오스틴,펭귄클래식(Penguin Classics),서울도서관 (API),,,,Mixed
웅진 책마을 40 - 내 푸른 자전거 [전자책],황선미,웅진주니어,서울도서관 (API),,,,Mixed
셜록 홈즈 (주홍색 연구)  펭귄 클래식 시리즈-58 [전자책],아서 코난 도일,펭귄클래식(Penguin Classics),서울도서관 (API),,,,Mixed
문학의 숲에서 동양을 만나다 [전자책],김선자,웅진지식하우스,서울도서관 (API),,,,Mixed
오셀로 (펭귄 클래식 시리즈-62) [전자책],윌리엄 셰익스피어,펭귄클래식(Penguin Classics),서울도서관 (API),,,,Mixed
꾼 [전자책],이화경,문학에디션뿔,서울도서관 (API),,,,Mixed
"코, 외투, 광인일기, 감찰관 (펭귄 클래식 시리즈-64) [전자책]",니콜라이 고골,펭귄클래식(Penguin Classics),서울도서관 (API),,,,Mixed
셜록 홈즈 (바스커빌 가문의 개) 펭귄 클래식 시리즈-69 [전자책],아서 코난 도일,펭귄클래식(Penguin Classics),서울도서관 (API),,,,Mixed
디지털 생존 교양 [전자책],김원석,갤리온,서울도서관 (API),,,,Mixed
